year,fips,state,usps,child_poverty,premature_death,pct_rural,uninsured,source
2024,45,South Carolina,SC,19.2,10317.5,32.1,12.3,real
2025,45,South Carolina,SC,18.8,10824.2,32.1,11.0,real
2016,46,South Dakota,SD,21.9,6648.8,42.8,17.5,simulated
2017,46,South Dakota,SD,21.0,6677.8,42.8,17.0,simulated
2018,46,South Dakota,SD,20.7,7091.1,42.8,16.3,simulated
2019,46,South Dakota,SD,19.4,7140.6,42.8,15.6,simulated
2020,46,South Dakota,SD,18.7,7961.3,42.8,14.6,simulated
2021,46,South Dakota,SD,17.6,8566.8,42.8,14.1,simulated
2022,46,South Dakota,SD,17.0,8380.7,42.8,13.3,simulated
2023,46,South Dakota,SD,16.2,8252.0,42.8,12.6,simulated
2024,46,South Dakota,SD,15.1,8482.5,42.8,11.5,real
2025,46,South Dakota,SD,13.5,8929.5,42.8,10.0,real
2016,47,Tennessee,TN,12.7,8484.1,33.8,15.2,simulated
2017,47,Tennessee,TN,13.6,8817.7,33.8,14.6,simulated
2018,47,Tennessee,TN,14.0,9027.9,33.8,14.2,simulated
2019,47,Tennessee,TN,14.6,9553.8,33.8,13.6,simulated
2020,47,Tennessee,TN,15.5,10373.2,33.8,13.3,simulated
2021,47,Tennessee,TN,15.8,10836.8,33.8,12.8,simulated
2022,47,Tennessee,TN,16.4,10838.5,33.8,12.8,simulated
2023,47,Tennessee,TN,17.4,10736.0,33.8,11.9,simulated
2024,47,Tennessee,TN,17.8,11043.4,33.8,11.9,real
2025,47,Tennessee,TN,18.9,11635.8,33.8,11.1,real
2016,48,Texas,TX,22.8,6379.5,16.3,26.7,simulated
2017,48,Texas,TX,22.5,6366.9,16.3,26.3,simulated
2018,48,Texas,TX,21.9,6712.7,16.3,25.7,simulated
2019,48,Texas,TX,21.7,6760.6,16.3,24.2,simulated
2020,48,Texas,TX,21.1,7624.6,16.3,23.4,simulated
2021,48,Texas,TX,20.9,7834.9,16.3,22.9,simulated
2022,48,Texas,TX,19.7,7680.8,16.3,21.7,simulated
2023,48,Texas,TX,19.4,7562.2,16.3,21.2,simulated
2024,48,Texas,TX,19.2,7874.7,16.3,20.3,real
2025,48,Texas,TX,18.4,8233.1,16.3,18.8,real
2016,49,Utah,UT,5.4,5982.5,10.2,14.3,simulated
2017,49,Utah,UT,5.6,6052.6,10.2,13.9,simulated
2018,49,Utah,UT,6.3,5878.0,10.2,13.4,simulated
2019,49,Utah,UT,6.7,6094.8,10.2,12.6,simulated
2020,49,Utah,UT,7.3,6605.5,10.2,12.0,simulated
2021,49,Utah,UT,7.2,6595.1,10.2,11.3,simulated
2022,49,Utah,UT,8.0,6374.8,10.2,11.2,simulated
2023,49,Utah,UT,8.0,6144.9,10.2,10.9,simulated
2024,49,Utah,UT,8.5,6328.4,10.2,10.1,real
2025,49,Utah,UT,9.2,6429.0,10.2,9.2,real
2016,50,Vermont,VT,15.2,4590.3,64.9,2.7,simulated
2017,50,Vermont,VT,14.5,4833.6,64.9,2.7,simulated
2018,50,Vermont,VT,13.8,5311.9,64.9,3.0,simulated
2019,50,Vermont,VT,13.9,5544.8,64.9,3.4,simulated
2020,50,Vermont,VT,12.9,6190.8,64.9,4.0,simulated
2021,50,Vermont,VT,12.7,6492.1,64.9,3.5,simulated
2022,50,Vermont,VT,11.9,6375.2,64.9,3.9,simulated
2023,50,Vermont,VT,11.2,6343.1,64.9,4.7,simulated
2024,50,Vermont,VT,11.1,6692.7,64.9,4.5,real
2025,50,Vermont,VT,10.2,7141.9,64.9,4.9,real
2016,51,Virginia,VA,13.6,5321.5,24.4,10.4,simulated
2017,51,Virginia,VA,13.5,5495.1,24.4,10.1,simulated
2018,51,Virginia,VA,13.0,5753.9,24.4,9.5,simulated
2019,51,Virginia,VA,13.3,6180.4,24.4,9.0,simulated
2020,51,Virginia,VA,12.9,6825.7,24.4,8.9,simulated
2021,51,Virginia,VA,13.1,7081.2,24.4,8.4,simulated
2022,51,Virginia,VA,13.1,6977.7,24.4,8.6,simulated
2023,51,Virginia,VA,12.5,7066.4,24.4,7.9,simulated
2024,51,Virginia,VA,12.8,7297.1,24.4,8.0,real
2025,51,Virginia,VA,12.7,7738.5,24.4,7.5,real
2016,53,Washington,WA,8.5,4503.2,16.6,9.0,simulated
2017,53,Washington,WA,8.9,4620.3,16.6,9.2,simulated
2018,53,Washington,WA,9.4,4786.1,16.6,9.1,simulated
2019,53,Washington,WA,10.1,5016.4,16.6,8.8,simulated
2020,53,Washington,WA,10.4,5798.9,16.6,8.1,simulated
2021,53,Washington,WA,10.5,6102.9,16.6,8.3,simulated
2022,53,Washington,WA,11.1,6036.4,16.6,8.0,simulated
2023,53,Washington,WA,11.3,6097.4,16.6,7.7,simulated
2024,53,Washington,WA,11.5,6333.5,16.6,7.6,real
2025,53,Washington,WA,12.1,6780.9,16.6,7.2,real
2016,54,West Virginia,WV,36.7,9257.9,55.4,8.4,simulated
2017,54,West Virginia,WV,34.6,9586.5,55.4,8.3,simulated
2018,54,West Virginia,WV,33.0,9892.5,55.4,8.5,simulated
2019,54,West Virginia,WV,31.0,10400.9,55.4,8.7,simulated
2020,54,West Virginia,WV,29.5,11468.6,55.4,8.3,simulated
2021,54,West Virginia,WV,27.6,12368.4,55.4,7.7,simulated
2022,54,West Virginia,WV,25.9,12089.3,55.4,8.0,simulated
2023,54,West Virginia,WV,24.1,12215.8,55.4,8.1,simulated
2024,54,West Virginia,WV,22.7,12553.9,55.4,7.7,real
2025,54,West Virginia,WV,19.6,13324.1,55.4,7.4,real
2016,55,Wisconsin,WI,13.8,5561.8,32.9,7.3,simulated
2017,55,Wisconsin,WI,13.6,5613.8,32.9,6.7,simulated
2018,55,Wisconsin,WI,13.4,6012.1,32.9,6.9,simulated
2019,55,Wisconsin,WI,13.8,6180.4,32.9,6.9,simulated
2020,55,Wisconsin,WI,13.1,6533.7,32.9,6.8,simulated
2021,55,Wisconsin,WI,13.0,6985.7,32.9,6.8,simulated
2022,55,Wisconsin,WI,13.5,6971.5,32.9,6.8,simulated
2023,55,Wisconsin,WI,13.3,7016.7,32.9,6.2,simulated
2024,55,Wisconsin,WI,13,7082.4,32.9,6.5,real
2025,55,Wisconsin,WI,12.8,7447.4,32.9,6.3,real
2016,56,Wyoming,WY,18.8,7761.0,38.0,20.7,simulated
2017,56,Wyoming,WY,17.6,7976.8,38.0,20.0,simulated
2018,56,Wyoming,WY,17.4,8091.7,38.0,19.6,simulated
2019,56,Wyoming,WY,16.3,8070.1,38.0,18.8,simulated
2020,56,Wyoming,WY,15.7,8862.5,38.0,18.4,simulated
2021,56,Wyoming,WY,15.4,9095.5,38.0,17.1,simulated
2022,56,Wyoming,WY,14.2,8955.0,38.0,16.4,simulated
2023,56,Wyoming,WY,13.6,8704.5,38.0,15.7,simulated
2024,56,Wyoming,WY,13.2,8747.3,38.0,15.3,real
2025,56,Wyoming,WY,12.0,8978.2,38.0,14.1,real
